Nama Pelanggan,Produk,Ulasan,Rating
Vera,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","wah haha ternyata kegedean .. karetnya ngga terlalu ketat, agak longgar mmg.. Tapi buat dirumah okelah gpp",5
D***y,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",👍🏻,5
f***l,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bahan bagus,5
A***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Packing rapih, joss",5
fefri,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",mantap,5
Shinta,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","beli 2 , tadinya pilih dark mustard S, tanyakan sblmnya ada tp stlh diorder diinfo ga ada (etalase ga berubah..tetep ada stok.. duh) diminta ganti dusty pink....ya akhirn...",4
Hendrias,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bagus,5
Rita,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","barang oke, sayang proses pengiriman dari penjual agak lama lama.",5
Letichell,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",👍,5
H***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Talinya fake ya, ngga bisa dipake untuk mengencangkan celana, itu tali tempelan aja. Kualitas yang didapatkan sesuai dengan harganya.",4
Rockefeller,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Ternyata kl pesan beda warna trus dtulis di note tdk akan direspon.. yg dkirim 1 warna saja. Dan itu tdk dtulis di deskripsi.. Bahan dan finishing lumayan bagus. Hanya ke...,4
Derry,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",mantappppp,5
Derry,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",mantapppp,5
M***d,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","sangat bagus model ini
akan order lagi",5
Rudhi,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","pesanan sdh diterima. .pengemasan cepat..bhn agk tipis tp ga nerawang..sz ckp..jahitan lmyn rapi..pengiriman cpt
..makasih",5
W***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","cakep modelnya, jahitan nya rapi, lumayan buat harga segini, ukurannya agak besar untuk BB 62kg, mungkin lebih pas kalau L tapi ngga apa-apa, karet pinggangnya aman,",5
Yermia,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bagus sangat pasKualitas bahan bagus 👍. Nyaman dipakai ✨.,5
Wishnu,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",ok,5
Aldhila,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",belanja ke 2x dan tdk pernah mengecewakan..Kualitas bahan bagus 👍. Nyaman dipakai ✨. Ukuran sesuai. Bahannya lembut. Bahannya adem. Tidak menerawang. Jahitannya rapi. Wa...,5
valentine,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Ukuran sesuai. Jahitannya rapi. Nyaman dipakai ✨. Warnanya cantik 💚.,5
Silvy,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Kualitas bahan bagus 👍. Nyaman dipakai ✨. Model Celananya cantik 😍. Jahitannya rapi. Ukuran sesuai. Warnanya cantik 💚. Bahannya adem. Bahannya lembut,bahannya ga tebel...",5
nani,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Nyaman dipakai ✨. Ukuran sesuai. Jahitannya rapi.,5
dias,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Ukuran sesuai. Bahannya adem. Bahannya lembut. Nyaman dipakai ✨.,5
Sari,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bagus seperti di gambar tapi ukurannya aga kebesaran.. terima kasih,5
e***t,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Jahitannya rapi. Kualitas bahan bagus 👍. Model Celananya cantik 😍. Nyaman dipakai ✨.,5
Farida,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍.,5
K***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bagus pengiriman cepat Bahannya adem Enak dipakai ✨ Modelnya kekinian 😍 Bahan menyerap keringat Jahitannya rapi Warnanya cantik 💚,5
anita,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍,5
Santy,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍. Nyaman dipakai ✨. Model Celananya cantik 😍. Jahitannya rapi. Ukuran sesuai. Bahannya adem.,5
Sheila,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍. Ukuran sesuai. Warnanya cantik 💚. Jahitannya rapi. Nyaman dipakai ✨. Tidak menerawang.,5
N***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","biasa aja, malahan ada barang saya di batalin, pengiriman sangat amat lemot kalo ngga di kasih tau pakai sameday mungkin ga bakal di kirim""",3
T***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","kurangajar penjualnya, chatroom dibalas dibilangnya gak respon👎👎👎",1
Jennifer,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Warnanya engga sesuai foto tapi bahan nya adem,5
oktavian,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","iyaa okehlahh Karna engga Tau cuma gede bgt Salah beli tp product nya bagus,bahan kasar halus..mulusKualitas bahan bagus 👍. Warnanya cantik 💚. Bahannya adem. Bahan meny...",5
h***y,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas bahan bagus 👍 Nyaman dipakai ✨ Ukuran sesuai Jahitannya rapi,5
Jennifer,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Warnanya cantik 💚,5
Caroline,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",pengiriman nya super lamaaaaa,2
F***l,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Nyaman dipakai ✨ Ukuran sesuai,5
F***l,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Model Celananya cantik 😍,5
Inggrid,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Kualitas bahan bagus. Jahitannya rapi. Ukuran sesuai. Warna celananya bagus. Bahannya lembut dan adem. Paling penting, nyaman dipake. 
Andai warna lainnya masih tersedia...",5
C***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Kualitas dan harga sesuai 👍🏽,5
satria,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bagus, 
terimakasih",5
puri,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","celana cukup.. 
nyaman di pakai. 
bahan ny jg oke.. 
seller ny ramah.... 
Terima kasih",5
i***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","sesuai sama gambarnya, respon seller juga cepat...siipp...",5
Rey,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","barang sesuai pesanan
jahitannya rapi",5
Bambang,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",order tgl 21 sampai tgl 24 nov....moga kedepannya lebih baik ya..,4
Sukarto,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","𝓑𝓪𝓻𝓪𝓷𝓰 𝓼𝓮𝓼𝓾𝓪𝓲 𝓭𝓮𝓷𝓰𝓪𝓷 𝓭𝓮𝓼𝓴𝓻𝓲𝓹𝓼𝓲 𝓭𝓪𝓷 𝓭𝓲 𝓫𝓾𝓷𝓰𝓴𝓾𝓼 𝓻𝓪𝓹𝓲, 𝓻𝓮𝓼𝓹𝓸𝓷 𝓼𝓪𝓷𝓰𝓪𝓽 𝓬𝓮𝓹𝓪𝓽, 𝓹𝓮𝓻𝓽𝓪𝓱𝓪𝓷𝓴𝓪𝓷 𝓽𝓮𝓻𝓾𝓼 𝓹�...",5
Y***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Beli celana pendek dikirim kaos pendek..huuft, untung kaosnya cakep walaupun lbh murah dikit.",4
M***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Jahitan rapi, celana longgar jd nyaman untuk bergerak.",5
H***n,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Barang yang dikirim sesuai dengan pesanan.,5
BeningLara,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bahan ga bagus,",3
P***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bahan adem,5
J***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bagus celana nya. thank u,5
V***y,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Cocok ukurannya. Bahan licin. Jahitan rapi,5
E***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Sesuai gambar,5
A***s,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","kainnya tipis dan kasar, warna kurang cerah",4
o***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",lumayan untuk harga segini....anak suka,5
Siska,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","sesuai dg harga , bahan agak tipis, model lumayan.thx",3
s***i,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","cepat dikirim, barang sesuai harga la..",5
Anita,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Good...,5
NOVRIETA,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bagus celananya. siip👍👍👍,5
d***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",lumayan aja,5
Desi,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Barang ok bahan standard,4
J***n,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bagus dan pengiriman yg sangat cepat,5
Erizal,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Bahan biasa saja,1
A***r,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bahannya bagus , cm prosesnya agak lama",5
L***m,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Lucu banget, suka.",5
M***d,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","bagus banget, ukuran pas, warnanya cantik,bahan nya bagus, mantap.",5
Tami,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Menerawang dan kasar,3
E***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",okeeeeee gooooooodddd siiiiipppppp 👍,5
E***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",siiiiipppppp okeeeeee gooooooodddd thanks 🙏🏻👍,5
E***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",siiiiipppppp okeeeeee thankyou 🙏🏻,5
H***e,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Mendingan lah,4
Tyas,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",Celana nya bagus gais 💚💚💚,5
A***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",bahan licin tipis tp ga menerawang. warna2 nya cerah n bagus. sesuai dg harga nya.,5
i***a,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S","Aku order xxl tp yg sampe xl , alhamdulillah nya muat si trnyta sizenya besar .. thx",4
alvaro,"HanaFashion - Tiara Short Pants Celana Pendek Wanita - SP041 - Pink, S",cakepp bingitt kakak,5
