Nama Pelanggan,Produk,Ulasan,Rating,Unnamed: 0
Andre,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,5,6.0
Putri,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",kain lumayan tipis,4,7.0
Andrea,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas. L. tinggi 152 berat 52. udah order kedua kalinya karena suka banget. terimakasii,5,8.0
Andrea,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukurannya pas Berat badan 50 - 60 kg,5,10.0
Y***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","BB saya 57kg, TB 163 cm, Lingkar pinggang 80. Pas ukuran M, tapi pendek memang; lebih panjang dikit dari CD model boxer. Bahannya tipis. Untuk sehari-hari okelah.",5,12.0
K***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahan adem,5,13.0
Amanda,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bahannya adem, bagus banget, sesuai foto",5,14.0
mice,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bagus , sesuai diskripsi, ukuran sesuai dan pas, enak adem dipakai. mksh",5,15.0
Widia,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bagus model dan bahan,5,16.0
Piedepoy,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",ademmmm bangettt,5,17.0
Asep,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","mantap sdh di terima , keren",5,18.0
Lestari,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",cocok buat pacar saya makin semoggg,5,19.0
Matius,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",good,5,20.0
Wieke,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahannya enak, adem dan nyaman 👍",5,21.0
OK,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Barang bagus, nyaman dipakai 👍👍👍👍👍",5,22.0
Tri,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahannya bagus, jahitan ok, adem saat di pakai , yang pastinya nyaman buat santai2 di rumah, thank you",5,23.0
A***D,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bagus dan cantik seperti biasanya 🥰,5,24.0
Anton,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bagus ,enak dipakai nyaman terimakasih",5,25.0
I***i,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahan enak dipakai,5,26.0
rani,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bahannya enak bgt, nyaman, adem dan keceee bgt pas dicobain. Terima kasih",5,27.0
M***D,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahan adem dan nyaman,5,28.0
Maria,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Pretty design as always, push my confidence, love it, i like that Hana Fashion's Design!",5,29.0
M***f,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahannya enak,5,30.0
Hanif,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","istri suka, katanya nyaman dipakai 👍🏾",5,31.0
Yohanes,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",nyaman buat sehari2 di Jakarta yg makin puanas,5,32.0
Rie,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","ukuran pas sesuai deskripsi
jahitan rapih
bahan adem lembut",5,34.0
Yordan,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","seller responsif, brg ny ok bangettt 👍🙏",5,35.0
N***i,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","pesanan sudah diterima dgn kondisi baik, terima kasih",5,36.0
Y***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ukuran pas dan nyaman dipakai 💖,4,37.0
Aileen,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Kain halus dan nyaman dipakai... Pelayanan toplah,, rekomended... 👍",5,38.0
Abdul,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Lumayan untuk harga seginimah lah,5,40.0
Galih,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahan nyaman,5,41.0
O***g,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Mantap bahan bagus, Nyaman banget dipakai, jahitan rapi. Suka banget. Terima kasih",5,42.0
A***D,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bagus.. nyaman dipake, ga sumpek, bahan bagus, ayank jd terlihat lebih seksih 👍",5,43.0
F***i,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","fittingnya okeee, pengemasan cepat, makasihhh udah gercep",5,44.0
M***d,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",mantap kali,5,45.0
S***n,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","👍👍👍👍
bisa diulang beli lagi. 
terimakasih tokopedia, seller n oom kurirnya",5,47.0
W***e,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",kilat nyampenya uy.... cakkeeepppp bgt,5,48.0
NuNa,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bagis,5,49.0
A***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Titipan istri. Kata istri bagus, dipakai nyaman & adem. Enak buat dipakai di rumah. Harga ok",5,50.0
N***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bahan nyaman, sesuai harga ...................",5,51.0
c***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",pas bgt. nice,5,52.0
Annisa,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","ukuran pas, jahitan rapi, nyaman",5,53.0
Wisnu,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",sesuai harapan,5,54.0
R***r,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",mantab sesuai ekspektasi dan harga lah ya,5,55.0
Rendy,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",terima kasih produknya sesuai deskripsi,5,56.0
Erna,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","pembelian ke 2, ukurannya pas dan bahannya juga nyaman.",5,57.0
Nurhidayat,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",sip Terbaik sih udah berapa kali beli di mari produk Berkualitas 💯👌,5,58.0
Jesmon,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",tidak sesuai,1,59.0
G***t,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",pelayanan cepatt,5,60.0
arya,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahan halus ,respon cpat",4,61.0
Donni,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Barang bagus sesuai diskripsi. Harga barang bagus sesuai kualitas. Semua berfungsi normal. Pengiriman cepat sesuai jadwal. Semoga awet. Ditunggu jenis barang lain nya bia...,5,62.0
Agus,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bahannya mantuulll,5,63.0
I***s,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",sesuai deakripsi,5,64.0
Latiffah,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",suka bgt pokonya.,5,65.0
Putu,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",barang bagus,5,66.0
A***n,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",sukses selalu,5,67.0
Q***n,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Thank you, my package has arrived, I just took it from the boarding house keeper's hand, the shoulders are cotton for relaxing okay, size L, the packaging is also nea...",5,68.0
M***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",👍👍👍👍👍👍👍👍,5,69.0
agus,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",ok,5,70.0
Shophie,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Tiba sesuai pesanan, dan dalam keadaan yang baik, bahannya bagus nyaman dipakai, modelnya bagus, jahitannya rapih, ukuran agak besar.",5,71.0
G,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",penampilan istri jd semakin seksi,5,72.0
Gunawan,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Pesanan sudah sampai kak. Belum di buka. Modelnya paling suka. Semoga sesuai ekspektasi size dan warnanya,5,73.0
E***i,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",mantap,5,74.0
R***o,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",barang sesuai deskripsi,5,75.0
O***i,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahannya adem,modelnya keren",5,76.0
G***n,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Terima kasih kak. Admin sangat ramah dan care. Bersedia ngasih solusi krna kmarin salah pikih size. Dipakai pas. Dan cantik model celananya,5,77.0
Andini,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",baguuuuus bgt ..,5,78.0
Ali,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",kualitasnya mantab,5,79.0
Andy,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Mantull....,5,81.0
Mia,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ada karet+tali.. Tapi sayang bahannya tipis bgt..,4,82.0
Dewi,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",light grey tp warna spt light green,4,83.0
B***t,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahan bagus, adem dan nyaman, model keren. harga terjangkau",5,84.0
A***i,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",beliin pacar saya ini + atasan warna yang sama berasa liat es mambo jalan jalan 👍🏻,5,85.0
Muhammad,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bagus dan pas,5,86.0
dea,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahan adem, jahitan rapi , meskipun murah harganya tp ga kelihatan murahan, thx seller",5,88.0
Wenny,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Ukuran pas, bahan enak di kulit, nyaman banget dipakai...",5,89.0
zeki,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bahannya halus, enak dipakai",5,90.0
Hendri,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Barang bagus, dan istri suka banget.
utk ukuran emang agak kebesaran, yg biasa pake L Manding beli yg M utknini",5,91.0
Nurcholis,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",barang bagus sesuai dngan yg digambar mksih seler..smoga mkin maju tokony..mksih,5,92.0
B***g,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahan oke, realpic, tp rasanya kebesaran dari ukuran XL biasanya",5,93.0
tommie,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Jahitan nya rapi, bahannya halus adem, servis seller cepat, kurir juga mantap, terimakasih",5,94.0
Hariyo,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",kualitas sesuai harga.,4,95.0
sawita,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",wrnanya lime gtu lucu,5,96.0
N***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahan nyaman, lembut oke lah..",5,97.0
R***Y,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",josss 👍👍👍👍👍👍👍👍,5,98.0
B***g,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",ntaps,5,99.0
Herdi,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","ukuran sesuai pesanan, barang bagus",5,101.0
Nicky,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Barangnya udah sampe.sesuai sm gambar bahannya adem enak dipakai
Thank u ditunggu orderan selama but ya",5,102.0
S***l,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Bagus yah barangnya.. Cepat pula pengirimannya.. Terima kasih,5,103.0
M***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Halus.,5,104.0
Ir,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bagus sekali rapi all ok banget,5,105.0
Anna,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","ukuran pas (ukuran XL, TB 153 BB 60).
bahan alus , enak dipakai, jahitan rapi,warna sesuai.",5,106.0
Anna,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","ukuran pas (ukuran XL, TB 153 BB 60).
bahan enak, jahitan rapi,warna sesuai. 
sdh repeat order.",5,107.0
Petrus,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","menrt saya, bahan nya kurang bagus",4,108.0
Nurhidayat,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Mantap Terbaik 💯 dalam kualitas,5,109.0
Mitha,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",p,3,110.0
NyoungLover,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Kulaitas bagus, nyaman dipakai, cuma agak pendek klo untuk yang tinggi",5,111.0
Z***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","sesuai, ukuran pas, bahan adem strech, next mau beli lg. makasih hanafashion",5,112.0
d***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Ukurannya pas di tinggi badan 150 cm dan sesuai dgn di foto,5,113.0
Elisabeth,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Bagus banget 🥰,5,116.0
T***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Utk bb 40kg tb 155cm uk s kekecilan hrsnya pesen uk M. Overall good,5,117.0
A***f,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Mantap bagus,5,118.0
Wiko,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","cukup seksi dg ukuran S. mon maaf ga difoto ya.

tp bagus. sesuai pesanan",5,119.0
Prastiwi,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Repeat order karena emang bahannya nyaman banget.
Tengkyu selelr....",5,120.0
Caroline,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",recommended seller 👍🏻 bagus bahan nya,5,121.0
Yuliana,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Cepat sampainya cuma sayang dibawah ketiak sperti ada sayap kiri n kanannya,5,123.0
Rina,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",barang nya dah sp.. bahan bagus tp blm di coba,4,125.0
Prastiwi,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Pembelian yg kedua...
Puas belanja di toko ini.
Customerized sekali.",5,126.0
Prastiwi,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Bahannya bagus.
Langsung repeat order.
Thanks yaa....",5,127.0
Y***e,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Sesuai pesanan
Pengiriman cepat",5,128.0
wawa,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bagus bahan adem ukuran pas,5,129.0
Setyarini,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Alhamdulillah..anaknya suka banget,5,132.0
Setyarini,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Alhamdulillah....anaknya suka,5,133.0
E***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahan lumayan tebel, jahitan rapi, nyaman d pakai..makasih",5,135.0
S***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",ukuran pas,4,136.0
N***t,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",mantap Barang datang sesuai Dengan pesanan kualitas Terbaik 💯,5,137.0
W***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Bagus bahan tebal, meskipun aku beli warna putih gak nerawang, bahan elastis cuma sayang benang jahitan kurang elastis jd ketika memakai dan melepas baju harus hati2 jgn...",5,138.0
wulandari,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bagus nyaman di pakai yaa,5,140.0
FIBI,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Bagus,4,141.0
fitriah,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",ini bahannya enak. crop top,5,142.0
ayu,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bagus bgt,5,143.0
Abdull,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Zzzzzzz,5,144.0
R***n,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",OKE 👍,5,145.0
Novia,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Untuk bahan si adem yaa ga yang sembarangan crop tank top yang ada si intinyaa suka sama si crop top ini,5,146.0
Hesti,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Bagus. Ukuran s terlalu kecil buat badan 48kg/155cm,5,147.0
Auldina,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahannya enakkkk sumpahhh , ga nyangka kualitasnya lebih dari worth pricenyaa",5,148.0
anastasia,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",cakep banget,5,149.0
Novianti,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",keren...bhn adem... ukuran sesuai,5,150.0
e***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",produk ny bagus,5,151.0
F***y,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Potongan di ketek'a sebelah lebih besar....😁, sebelah pas..",4,152.0
C***n,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bahannya bagus.jangan ragu beli2 disini yaaa,5,153.0
T***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","barang ok, pengiriman cepat",5,154.0
Niken,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Udh ke 2x beli disini bahannnyaa ademm ga gerah. 😍😍😍😍,5,155.0
Y***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","plis suka bgt sama ini, yang brick red cakep bgt warnanya! nyaman bgt baju baju gini buat dirumah, next time pasti beli lagi!! thank you❤️",5,156.0
