,Nama Pelanggan,Produk,Ulasan,Rating
76,O***i,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahannya adem,modelnya keren",5
77,G***n,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Terima kasih kak. Admin sangat ramah dan care. Bersedia ngasih solusi krna kmarin salah pikih size. Dipakai pas. Dan cantik model celananya,5
78,Andini,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",baguuuuus bgt ..,5
79,Ali,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",kualitasnya mantab,5
81,Andy,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Mantull....,5
82,Mia,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Ada karet+tali.. Tapi sayang bahannya tipis bgt..,4
83,Dewi,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",light grey tp warna spt light green,4
84,B***t,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahan bagus, adem dan nyaman, model keren. harga terjangkau",5
85,A***i,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",beliin pacar saya ini + atasan warna yang sama berasa liat es mambo jalan jalan 👍🏻,5
86,Muhammad,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bagus dan pas,5
88,dea,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahan adem, jahitan rapi , meskipun murah harganya tp ga kelihatan murahan, thx seller",5
89,Wenny,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Ukuran pas, bahan enak di kulit, nyaman banget dipakai...",5
90,zeki,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Bahannya halus, enak dipakai",5
91,Hendri,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Barang bagus, dan istri suka banget.
utk ukuran emang agak kebesaran, yg biasa pake L Manding beli yg M utknini",5
92,Nurcholis,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",barang bagus sesuai dngan yg digambar mksih seler..smoga mkin maju tokony..mksih,5
93,B***g,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahan oke, realpic, tp rasanya kebesaran dari ukuran XL biasanya",5
94,tommie,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Jahitan nya rapi, bahannya halus adem, servis seller cepat, kurir juga mantap, terimakasih",5
95,Hariyo,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",kualitas sesuai harga.,4
96,sawita,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",wrnanya lime gtu lucu,5
97,N***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","bahan nyaman, lembut oke lah..",5
98,R***Y,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",josss 👍👍👍👍👍👍👍👍,5
99,B***g,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",ntaps,5
101,Herdi,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","ukuran sesuai pesanan, barang bagus",5
102,Nicky,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","Barangnya udah sampe.sesuai sm gambar bahannya adem enak dipakai
Thank u ditunggu orderan selama but ya",5
103,S***l,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Bagus yah barangnya.. Cepat pula pengirimannya.. Terima kasih,5
104,M***a,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Halus.,5
105,Ir,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",bagus sekali rapi all ok banget,5
106,Anna,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","ukuran pas (ukuran XL, TB 153 BB 60).
bahan alus , enak dipakai, jahitan rapi,warna sesuai.",5
107,Anna,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","ukuran pas (ukuran XL, TB 153 BB 60).
bahan enak, jahitan rapi,warna sesuai. 
sdh repeat order.",5
108,Petrus,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL","menrt saya, bahan nya kurang bagus",4
109,Nurhidayat,"HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061 - yellow green, XL",Mantap Terbaik 💯 dalam kualitas,5
110,Mitha,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",p,3
111,NyoungLover,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Kulaitas bagus, nyaman dipakai, cuma agak pendek klo untuk yang tinggi",5
112,Z***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","sesuai, ukuran pas, bahan adem strech, next mau beli lg. makasih hanafashion",5
113,d***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Ukurannya pas di tinggi badan 150 cm dan sesuai dgn di foto,5
116,Elisabeth,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Bagus banget 🥰,5
117,T***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Utk bb 40kg tb 155cm uk s kekecilan hrsnya pesen uk M. Overall good,5
118,A***f,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Mantap bagus,5
119,Wiko,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","cukup seksi dg ukuran S. mon maaf ga difoto ya.

tp bagus. sesuai pesanan",5
120,Prastiwi,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Repeat order karena emang bahannya nyaman banget.
Tengkyu selelr....",5
121,Caroline,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",recommended seller 👍🏻 bagus bahan nya,5
123,Yuliana,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Cepat sampainya cuma sayang dibawah ketiak sperti ada sayap kiri n kanannya,5
125,Rina,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",barang nya dah sp.. bahan bagus tp blm di coba,4
126,Prastiwi,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Pembelian yg kedua...
Puas belanja di toko ini.
Customerized sekali.",5
127,Prastiwi,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Bahannya bagus.
Langsung repeat order.
Thanks yaa....",5
128,Y***e,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Sesuai pesanan
Pengiriman cepat",5
129,wawa,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bagus bahan adem ukuran pas,5
132,Setyarini,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Alhamdulillah..anaknya suka banget,5
133,Setyarini,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Alhamdulillah....anaknya suka,5
135,E***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahan lumayan tebel, jahitan rapi, nyaman d pakai..makasih",5
136,S***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",ukuran pas,4
137,N***t,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",mantap Barang datang sesuai Dengan pesanan kualitas Terbaik 💯,5
138,W***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Bagus bahan tebal, meskipun aku beli warna putih gak nerawang, bahan elastis cuma sayang benang jahitan kurang elastis jd ketika memakai dan melepas baju harus hati2 jgn...",5
140,wulandari,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bagus nyaman di pakai yaa,5
141,FIBI,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Bagus,4
142,fitriah,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",ini bahannya enak. crop top,5
143,ayu,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bagus bgt,5
144,Abdull,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Zzzzzzz,5
145,R***n,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",OKE 👍,5
146,Novia,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Untuk bahan si adem yaa ga yang sembarangan crop tank top yang ada si intinyaa suka sama si crop top ini,5
147,Hesti,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Bagus. Ukuran s terlalu kecil buat badan 48kg/155cm,5
148,Auldina,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahannya enakkkk sumpahhh , ga nyangka kualitasnya lebih dari worth pricenyaa",5
149,anastasia,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",cakep banget,5
150,Novianti,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",keren...bhn adem... ukuran sesuai,5
151,e***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",produk ny bagus,5
152,F***y,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Potongan di ketek'a sebelah lebih besar....😁, sebelah pas..",4
153,C***n,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bahannya bagus.jangan ragu beli2 disini yaaa,5
154,T***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","barang ok, pengiriman cepat",5
155,Niken,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Udh ke 2x beli disini bahannnyaa ademm ga gerah. 😍😍😍😍,5
156,Y***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","plis suka bgt sama ini, yang brick red cakep bgt warnanya! nyaman bgt baju baju gini buat dirumah, next time pasti beli lagi!! thank you❤️",5
157,Putri,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","produk bagus, bahan nyaman dan dingin. cuma sayang size untuk saya sedang kosong waktu order. tolong segera lengkapi ya biar bisa order ulang",4
158,Stella,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","nyaman banget di pakenya. langganan HanaFashion dari tahun 2019, selalu kalap kalo belanja disini wkwkw sukses selalu yaa HanaFashion kesayangan ❤️",5
159,C***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Pas banget di badan 158/46, surprisingly bahannya bagus poll",5
160,Chalfina,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bahannya bagus bangetttttttt pengiriman cepat .,5
161,yongky,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",enak bahan lumayan,5
162,Mercy,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",harga dah paliiiiing paling murah dah...tapi kualitas ga abal abal... udah berkali kaliii beli selalu baguuuus,5
163,ana,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",barang sesuai bahan bagus,5
164,H***y,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Makasih...paket sdh sampai, bahannya bagus, ukuran pas👍🙏",5
165,P***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Hebat,5
166,Tjiong,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bagus dan respon cepat. cewe saya suka sama model n bahannya hehe,5
167,Susy,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","✔️yg size L, lebar baju 1 sisi dari ketiak kiri ke ketiak kanan +- 39 cm ✔️pnjg baju +- 35 cm ✔️muat dan udh pas2an dipakai oleh saya dgn berat badan 48kg tinggi 160cm ✔️...",5
168,M***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",real pic....baguuus bangeeeett...next mau bli yg putih...makasiih gaan,5
169,beautyholicmall,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",nyaman dipakai,5
170,R***y,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",model dan ukuran ga pernah mengecewakan,5
171,M***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bahannya adem puool👍🏻,5
172,P***u,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Bahan tipis sesuai harga :),2
173,Yoga,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Mantap, barang bagus sesuai deskripsi",5
174,e***h,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Les tepi kain bagian kiri dan kanannya keriting-keriting. Apalagi yang di dekat ketiak, kecewa abis. Gak tau apakah cuttingnya yg salah atau bekas barang return.",1
175,e***h,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Ukuran cropnya agak aneh ya. Terpaksa harus dimodifikasi ulang karena kain di lingkaran bagian ketiaknya kebesaran (longgar) sedangkan bagian dada dan badan pas. 

Kainny...",1
176,T***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Kalo dagang itu yg jujur ya kk. Jangan bisanya ngadain flashsale, harga dimurah2 kan untuk menarik pembeli. Ehhh ujung2 nya orderan di cuekin tidak dikirim. Ini namanya p...",1
177,Tina,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Penjual yg tdk profesional, tidak bertanggungjawab. Penipu. Adakan flash sale dengan harga miring tapi ternyata pesanan tidak dikirim2. Barang tidak pernah dikirim, nomor...",1
178,M***s,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",pas,5
179,Vallyne,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Mantap,5
180,Diamond,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","sangat pendek, tdk spt gambar",3
182,M***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","gakpernah nyesel deh pokoknya, 
suka bgt sama bahannya, adem parah",5
183,n***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","pengiriman sangat cepat, bahan bgs, di pakai jg keren. size S, bb 40",5
184,M,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","toko sp4m puluhan kali ke pembeli, kirim lama,barang kecil.dikasih bintang yg wajar malah maksa harus bintang 4 atau 5.tiap hari sp4m ke 4kun saya dan wa.sekalian saya ub...",1
185,W***y,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Kain tipiss,4
186,V***i,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Kualitas okee, kain tebel, adem, ngga nerawang. Langganan banget pokoke ya di Hana Fashion. Ngga usa ragu lagi. Size crop M, celana L. Tb/bb 159,53kg",5
187,Agustien,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","Bahan sedang, jahitan rapi. Tank top cukup di BB 72 kg",5
188,Tambunan,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",Bagus dan sesuai harapan,5
189,Siti,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahan sangat bagus, tapi aku minta warna hitam di kasih nya orange, gak apa2 lah sama aja bagus juga",4
190,Anggun,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahannya adem, halus, tidak menerawang. worth it bgt sih ✨🫶🏻",5
191,S***a,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","baguss, bahannya enak, tp yg putih agak nerawang dikit",5
192,Tiffany,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bahannya tipis jd adem tp ga nerawang, bagus. suak banget makasii",5
193,R***y,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","pembelian kedua hehe, puas soalnya sama yg pertama, semoga ada rezeki lebih lagi ya biar bisa beli warna lainnya.se bagus itu koleksi nya hana fashion, dengan harga murah...",5
194,Wulandari,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","barang sesuai dengan pesanan, next order lagi",5
195,V***A,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL",bahan adem....cocok u yg ingin keliatan perut,5
196,nadaa,"HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007 - Khaky, XL","bagusss bangett aaaa, trs adminnya ramah sekali dan fast respon 😍😍🥰🥰",5
