Nama Pelanggan,Produk,Ulasan,Rating
reza,HanaFashion - Nora Basic Crop Tank Top Rajut Tank Top - TT309,"bagus, pas di tb 153, BB 48",5
D***a,HanaFashion - Pokemon Crop Top Kaos Murah Wanita - CT108,Barang sesuai deskripsi. Kaosnya lucu. Seller responsive. Thank you.,5
Siti,Hana Fashion - Delevine Set Setelan Wanita - ST138,"bahan nyaman adem 
saya suka",5
Iwan,HanaFashion - Euna Crop Top Stylish Kaos Wanita Murah - CT063,"bahan & modelnya bagus, proses cepat. recommended",5
B***n,HanaFashion - Frilly Short Pants Celana Pendek Wanita - SP066,"Pesanan sesuai, ukurannya agak besar",5
Niko,HanaFashion - Kharen T-shirt Knit / Kaos Crop Wanita Korea - TS478,"Terlalu Kecil utk ukuran L, gak bsa dipakai barangnya juga.",1
C***e,Maddie Tank Top Crop Stylish Wanita - CT086,Ukurannya pas,5
Bintang,Hana Fashion - Emmanuela Collar V-Neck Dress - CD130,"Ternyata bahannya bertekstur garis vertikal, bukan polos. 150cm/45kg pakai uk.S pas tidak sesak ketat pd dada. Puaas 👌",5
S***l,HanaFashion - Vera Scrunchie Ikat Rambut Korean Style - AC042,Kecil,3
S***l,HanaFashion - Bona T-shirt Wanita / Kaos Wanita Gaya Korea - TS421,Bahannya tdk melar dan kasar,3
M***a,HanaFashion - Jessie Crop Top Kaos Pendek Wanita - CT075,"Ukurannya pas untuk LD 96, BB 67, TB 170.
susah nyari atasan crop yang fit. ini udah dapet dan pas, seneng banget",5
alice,Hana Fashion - Jodie Slit Skort Pants Celana Rok Pendek Wanita - SP085,"bgs produk na, ud repeat bbrp x slalu puas",5
S***i,Hana Fashion - Gie Maxi Skirt Rok Panjang Long Skirt - SK216,"ukurannya pas banget, enak di pake pengiriman nya cepat, penjual fast respon juga. pengiriman cepat dan aman.",5
S***i,HanaFashion - Gamora Tank Top Bra Wanita - TT387,"ukurannya pas banget, enak di pake pengiriman nya cepat, penjual fast respon juga. pengiriman cepat dan aman.",5
a***i,HanaFashion - Hyeri T-shirt Wanita Casual Kaos Wanita Murah - TS263,"ini udah purchase ke berapa gatau lupa. bajunya tebel, bahannya jatuh, cucoookkk banggettttt. toko kamu gaboleh tutup ya di tokped, kalo sampe tutup, aku marah. makasih b...",5
Betty,Hana Fashion - Adora Celana Cutbray Highwaist Flare Pants - LP272,seperti sudah pernah di pake,1
Liimaya,HanaFashion - Hera Casual Long Pants Celana Kerja Highwaist - LP007,"bagus sih ukuran pas, tapi aku tau ini bukan warna khaki ini warna abu muda... 😭... harus nyari lagi celana.. 😩",4
windah,Hana Fashion - Maudy Highwaist Pants Long Pants - LP167,Tidak ada ulasan,5
c***a,Hana Fashion - Zoella Rib Tank Top Wanita - TT252,"Ternyata produk nya sudah sold out, tapi admin nya gercep sekali, langsung di hubungi dan bsa ganti produk lain nya. Bagus barang nya.",5
c***a,Hana Fashion - Briella Knit Tank Top Wanita - TT493,"Bahan tebal, bagus, sesuai dengan harapan. Recommended.",5
c***a,HanaFashion -Brenda Crop Tank Top Renda with Cup Bra - TT381,"Bagus bgt, sesuai expectation, semoga ketika udh dipakai awet terus.",5
c***a,HanaFashion - Aruna One Shoulder Strap Tank Top Wanita - TT308,"Baru, kualitas lumayan ok, sesuai dengan harga.",5
Adhitama,HanaFashion - Emily Short Pants Celana Pendek Wanita - SP042,standar,4
Adhitama,Hana Fashion - Maudy Highwaist Pants Long Pants - LP167,standar,4
Adhitama,HanaFashion - Sohee Mini Skirt / Rok Pendek Zipper Wanita Korea- SK151,standar,4
Adhitama,HanaFashion - Nora Basic Crop Tank Top Rajut Tank Top - TT309,bahan tipis. standar aja,4
Adhitama,HanaFashion - Anya Mini Skirt / Rok Pendek Wanita Murah - SK171,bahan tipis. standar aja,4
ramli,HanaFashion - Hera Casual Long Pants Celana Kerja Highwaist - LP007,"bahan bagus ,jahitan rapi,pas dibadan dengan tinggi 165  berat 65.",5
I,HanaFashion - Sohee Mini Skirt / Rok Pendek Zipper Wanita Korea- SK151,Ukuran pas,5
I,HanaFashion - Biwa Short Pants Wanita - SP145,Ukuran pas,5
Dewi,HanaFashion - Sohee Mini Skirt / Rok Pendek Zipper Wanita Korea- SK151,"barang sudah sampai, barangnya sesuai dan bagus aku suka bngt, pengirimannya juga cepat terimakasih 🙏",5
helga,Hana Fashion - Maudy Highwaist Pants Long Pants - LP167,"bahannya bagus, untuk ukurannya dipinggang saya pas.",5
a***g,Hana Fashion - Maudy Highwaist Pants Long Pants - LP167,Ukurannya pas Tinggi badan > 170 cm Berat badan 61 - 70 kg,5
Tyazz,HanaFashion - Virgo Casual Mini Dress Wanita Korean Style - CD084,hot banget,5
Tyazz,Hana Fashion - Arisha Casual Long Dress Wanita - CD047-2,pas nice banget,5
cahya,HanaFashion - Sohee Mini Skirt / Rok Pendek Zipper Wanita Korea- SK151,mantab order ke 2xnya,5
Michelle,Hana Fashion - Gracia Tennis Skort Rok Celana Tennis Wanita - SK212,produk bagus cuma sayang bagian bawah rok unfinish ( kagak di jahit ke dalam lagi ) kesannya jadi kurang bagus..  keluar benang2 halus di bagian bawah rok,5
truly,HanaFashion - Woori Blue Jeans Long Pants - JLP043,Ukurannya pas Tinggi badan 161 - 170 cm Berat badan 61 - 70 kg,4
truly,Hana Fashion - Alena Button Long Pants Casual Celana Panjang - LP282,Ukurannya pas Berat badan 61 - 70 kg Tinggi badan 161 - 170 cm,5
Vivianne,HanaFashion - Roshi Shirt Blouse / Atasan Wanita Casual - SB248,"ga ada masalah, bagus bagus aja. bahan nyaman cuttingan cakep.

Tinggi badan 161 - 170 cm Berat badan 50 - 60 kg",5
Vivianne,Hana Fashion - Alena Button Long Pants Casual Celana Panjang - LP282,"bahan tipis tapi adem, warna beda dikit karena pencahayaan. beli pas harga 85k, secara pribadi kurang suka tapi tiap orang beda2.",5
S***o,HanaFashion - Ellie Short Pants / Celana Pendek Wanita - SP130,Ukurannya pas. Tinggi badan 161 - 170 cm. Berat badan 61 - 70 kg.,5
yahya,Hana Fashion - Nagita Set Strap Midi Dress With Cardigan - ST155,bahan g sesuai harga,1
Audira,Hana Fashion - Maudy Highwaist Pants Long Pants - LP167,Berat badan < 50 kg,5
Anastasiia,Hana Fashion - Jodie Slit Skort Pants Celana Rok Pendek Wanita - SP085,Tidak ada ulasan,5
D***n,Hana Fashion - Jodie Slit Skort Pants Celana Rok Pendek Wanita - SP085,Ukurannya pas⭐️⭐️⭐️⭐️⭐️,5
D***a,HanaFashion - Hera Casual Long Pants Celana Kerja Highwaist - LP007,bahan nya tipis,4
T***a,Hana Fashion - Jodie Slit Skort Pants Celana Rok Pendek Wanita - SP085,bahannya ok seneng banget jaitannya rapi. cuzz lsg order lagi,5
Lavenia,HanaFashion - Hailee Blouse Sabrina / Baju Wanita Murah - TS293,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan < 50 kg,5
S***l,HanaFashion - Kyara Cardigan Outer Balloon Sleeve Korean Style - JK039,"barang sampai dengan selamat, produknya sesuai dengan gambarnya 😁👍",5
r***i,Duma Backless Mini Dress Wanita - CD074,recomended,5
karunia,HanaFashion - Aurora Basic Tank Top Crop Wanita - TT035,ukurannya pas....cukup nyaman,5
karunia,Hana Fashion - Teresa Bodycon Long Dress Wanita - CD180,panjang nya bagus dan fit badan,5
karunia,HanaFashion - Gita Long Dress Korean / Basic Dress Maxi Murah - CD071,ukurannya pas daan enak dipakai,5
karunia,HanaFashion - Darla Short Pants Celana Pendek Santai Wanita - SP160,ukurannya pas dan enak dipakai,5
a***a,HanaFashion - Annie Crop Shirt Wanita / Kemeja Crop Wanita - JK055,👍👍,5
a***a,HanaFashion - Sasha Outer / Kardigan Wanita Korea Murah - SB247,👍👍,5
F***n,Hana Fashion - Jodie Slit Skort Pants Celana Rok Pendek Wanita - SP085,terlihat bagus dan elegan.. bahannya elastis tapi adem.  tidak panas. pas dipakainya sesuai dengan ukuran yg tertera di etalase.,5
R***a,Hana Fashion - Arisha Casual Long Dress Wanita - CD047-2,Tidak ada ulasan,5
N***i,HanaFashion - Martina Basic - Kaos T Shirt Crop Top Murah - TS177,"bahan lembut, bagus",5
Reviani,HanaFashion - Biwa Short Pants Wanita - SP145,bahannya tipis bgt,3
C,Hana Fashion - Jodie Slit Skort Pants Celana Rok Pendek Wanita - SP085,Ukurannya pas,5
C,HanaFashion - Jade Top Long Sleeve / Blouse Wanita - TS168,suka,5
I***h,Hana Fashion - Karlyn Jacket Crop Outer /Jaket Zipper Wanita - JK103,Tidak ada ulasan,3
Aditya,HanaFashion - Sohee Mini Skirt / Rok Pendek Zipper Wanita Korea- SK151,Bahannya baguuus.. tebal pula. Nyaman bgt buat dipakai & bisa boost simple style jg. Recommended! 👍,5
Aditya,Hana Fashion - Jodie Slit Skort Pants Celana Rok Pendek Wanita - SP085,"Bahannya lemas & agak tipis ternyata, jd gampang nonjolin lekukan kain (terutama stlh banyak gerak). Tp nyaman dipakai & cocok untuk home daily use. Great 👌",4
D***g,Aries Halter Stripe Tank Top Tumblr - TT225,"Ukuran 4XL pas utk saya yang Tinggi badan 155cm dan Berat Badan 64kg.
Proses oleh toko dan pengiriman baik.",4
tri,HanaFashion - Indy Loose Pants Celana Panjang Wanita - LP033,Agak tipis tp ok sih,5
Uchtina,HanaFashion - Casual Midi Skirt Rok Wanita - SK035,beli lagi beda warna..produk ok. respon ok,5
Yuvita,Hana Fashion - Jodie Slit Skort Pants Celana Rok Pendek Wanita - SP085,Ukurannya pas Tinggi badan 150 - 160 cm,5
Y***a,Hana Fashion - Maureen Knit Jacket Wanita - JP024,Ukurannya pas Tinggi badan 150 - 160 cm,5
V***y,HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007,Pas di badan,5
n***n,Hana Fashion - Elisya Crop Top Korean Tshirt Square Neck - CT325,bagusss bgt selaluuuu maaf fotonya gasesuai tp ok bgt deh bb 58 muat disize yg ak order🫶🏼,5
Fafa,HanaFashion - Luna Square Neck Long Sleeve Shirt Blouse - CT258,Tidak ada ulasan,1
D***i,HanaFashion - Rina Cardigan Long Sleeve Outer Kardigan Wanita - JK056,Ukurannya terlalu kecil,5
e***a,HanaFashion - Yuna Crop Top Wanita Korean Style - TS343,bahan nya nyaman,5
Rima,HanaFashion - Patricia Crop Top Stylish Wanita Murah - CT093,"pas banget ukurannya aku BB 58 tb 155 pake ukuran L pas ya, ga kekecilan. Warnanya juga cakep bgt. 💞",5
Z***a,HanaFashion - Alika Knit Crop Top Atasan Wanita - CT198,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,5
F***y,Hana Fashion - Lorena Maxi Long Skirt Rok Panjang Wanita - SK249,Ukurannya pas,5
F***y,Hana Fashion - Sofia Highwaist Loose Pants Kulot Panjang - LP176,Ukurannya pas,5
Jessica,HanaFashion - Cesa Rope Loose Pants - LP118,Lucu bangett,5
Mega,Hana Fashion - Dramatic Crop Top Printing Wanita - TS593,Ukurannya pas.. cakep banget dipakek..  Berat badan < 50 kg,5
Mia,HanaFashion - Rina Cardigan Long Sleeve Outer Kardigan Wanita - JK056,"Ukurannya terlalu kecil
apa nih jualan baju kayak serbet lap. harga diatas 50rb itu harusnya kualitas barang juga bagus dikit lah.",4
Nisa,HanaFashion - Rina Cardigan Long Sleeve Outer Kardigan Wanita - JK056,jahitan rapih suka banget masi aman buat pake hijab wkwk next order lagii,5
Ella,HanaFashion - Ariana Casual Dress Wanita Murah Korea Style / Korean Dr,cakeppp,5
Ella,Hana Fashion - Eliana V-Neck Long Sleeve Korean Style - TS571,Ukurannya terlalu besar Ukurannya terlalu kecil Ukurannya pas Tinggi badan > 170 cm Tinggi badan < 150 cm Berat badan 61 - 70 kg Berat badan 50 - 60 kg Tinggi badan...,5
Devi,HanaFashion - Yejin Blouse Blazer / Outer Cardigan Wanita Korea- JK065,Tidak ada ulasan,1
Devi,HanaFashion - Hera Casual Long Pants Celana Kerja Highwaist - LP007,Tidak ada ulasan,1
M***a,Hana Fashion - Olla Basic Tank Top Wanita - TT500,"Jadi lihatan langsing nih… Tinggi 163cm, BB 56kg pakai M nya pas bgt. klo ada warna2 lain aku mau beli lagi…",5
M***a,Hana Fashion - Windy Puff Long Sleeve T-shirt - TS643,"Bahan tebal dan model nya lucu,,, makasih ya",5
Angelika,HanaFashion - Josie Short Pants / Celana Pendek Wanita - SP082,Ukurannya pas,5
G***g,Hana Fashion - Sofia Highwaist Loose Pants Kulot Panjang - LP176,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,5
G***g,Hana Fashion - Lisa TShirt Crop Top Kaos Wanita  - TS194,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,5
Lie,Hana Fashion - Sammy Long Sleeve Sassy - TS121-2,respon cepat paking aman brg sesuai dengan pesanan dan deskripsi,5
Yuni,HanaFashion - Dami Casual Short Pants Wanita Celana Pendek - SP067,"Ukurannya pa, bahan halus nyaman tidak menerawang. punya warna nya sebelumnya beli yang hitam ditiktok",5
adisti,HanaFashion - Aurelie Wave Crop Top T-Shirt Polos - CT074,"Ukurannya pas
bahan nya bagus
next beli lagii🥰",5
E***n,HanaFashion - Gamora Tank Top Bra Wanita - TT387,Tidak ada ulasan,2
E***n,HanaFashion - Yolana Simple Crop Tank Top Wanita - TT164,Tidak ada ulasan,2
E***n,HanaFashion - Riana Ruffle Tank Top Wanita Tengtop Two Tone - TT213,Tidak ada ulasan,2
Ilham,Hana Fashion - Briella Knit Tank Top Wanita - TT493,"bahannya bagus banget, nyaman dipakainya",5
j***a,HanaFashion - Sohee Mini Skirt / Rok Pendek Zipper Wanita Korea- SK151,"Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 61 - 70 kg, ga pernah sepuas ini sm suatu produk yg harganya ga nyampe 100rb, kualitasnya bnr2 bagus, bahan setebel it...",5
j***a,Jiso V-neck Chekered Cute Korean Crop Top Wanita - CT286,"Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 61 - 70 kg, kualitasnya bagus",5
n***x,Aries Halter Stripe Tank Top Tumblr - TT225,baguss barangnya.makasih,5
n***x,HanaFashion - Fiona Cute Crop Tank Top Wanita - CT283,bagusss.makasih,5
I***x,HanaFashion - Rina Cardigan Long Sleeve Outer Kardigan Wanita - JK056,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,4
D***a,Hana Fashion - Edeline Outer Wanita Cardigan Korean Style JK099,Ukurannya pas  Tinggi badan 161 - 170 cm Berat badan > 70 kg,5
s***y,Hana Fashion - Adora Celana Cutbray Highwaist Flare Pants - LP272,bb 47 tb 160 ukuran s pas bgt dan masi kerasa longgar ga sempit malah,5
Lilian,HanaFashion - Anya Mini Skirt / Rok Pendek Wanita Murah - SK171,Ukurannya pas,5
Lilian,Hana Fashion - Yunhee Square Neck Knit Blouse Atasan Wanita - TS339,Ukurannya pas siip laah baguuuss ga nerawang,5
Mikeu,Hana Fashion - Messy Crop Top Atasan Wanita - CT319,Ukurannya pas Tinggi badan < 150 cm,5
u***i,HanaFashion - Hyeri T-shirt Wanita Casual Kaos Wanita Murah - TS263,Ukurannya pas,5
R***y,Hana Fashion - Cecilia Lace Crop Top Long Sleeve Atasan Wanita - CT317,ok,5
R***y,HanaFashion - Solji Long Slit Skirt / Rok Panjang Elegan Wanita- SK185,ok,5
Agus,HanaFashion - Danise Short Pants Celana Pendek Wanita - SP061,ok bngt,5
Agus,Hana Fashion - Abigaile Knit Tank Top Wanita - TT436,ok bngt,5
Tatar,HanaFashion - Tammy Short Pants / Celana Pendek Wanita - SP081,tks Gan...,5
Virana,[BIG SIZE] HanaFashion - Aurora Basic Tank Top XXL Crop Wanita - TT035,Ukurannya pas Ukurannya terlalu kecil Tinggi badan 150 - 160 cm,5
s***l,Hana Fashion - Jodie Slit Skort Pants Celana Rok Pendek Wanita - SP085,Ukurannya pas,5
Andreas,HanaFashion - Ribbony Side Pants Celana Panjang Bahan Wanita - LP031,Ukurannya pas,5
Zhou,HanaFashion - Biwa Short Pants Wanita - SP145,"Ukuran tidak sesuai deskripsi, 
Tb 167 bb 57, order size L ngepress banget malah gak kepake",3
A***a,HanaFashion - Felecia Basic Outer Atasan Wanita - SB144,bagus bangettt.. love it 😍❤ kereenn..👍next beige ah soalnya udah pernah beli model lain dan cocok di aq wrnnya 👍,5
L***i,HanaFashion - Frilly Short Pants Celana Pendek Wanita - SP066,"Ukurannya kebesaran dikit, bahannya biasa ajaa, tapi yha harganya cuman segitu jadi aman ajasih heheheheh",5
L***i,HanaFashion - Gabriela Top Long Sleeve / Atasan Wanita - TS472,Ukurannya pas Tinggi badan > 170 cm Berat badan 50 - 60 kg,5
Ruri,HanaFashion - Miranda Basic Tank Top Simple Polos Wanita - TT029,"Bagus, tp bhannya agak beda sm yg pertama",4
Amalia,HanaFashion - Hyeri T-shirt Wanita Casual Kaos Wanita Murah - TS263,"Ukurannya pas Tinggi badan 165 cm , Bb 65 kg",5
F***y,HanaFashion - Dami Casual Short Pants Wanita Celana Pendek - SP067,Ukurannya pas,5
W***n,HanaFashion - Anka Basic Square Neck Crop Top Wanita - CT167,kualitas bahan dan jahitan. profesional. Terimaksih,5
W***n,HanaFashion - Pokemon Crop Top Kaos Murah Wanita - CT108,kualitas bahan dan jahitan. profesional. Terimaksih,5
M***l,HanaFashion - Kyara Cardigan Outer Balloon Sleeve Korean Style - JK039,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan < 50 kg,5
M***l,Hana Fashion - Olla Basic Tank Top Wanita - TT500,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan < 50 kg,5
a***i,HanaFashion - Luna Square Neck Long Sleeve Shirt Blouse - CT258,162cm 80kg pake ukuran ini. I look so stunning. I feel so sexyyy~~~ ini bahannya melar which is good. pokonya banyakin baju2 yang ukuran besar ya. aku mau beli bajunya di...,5
Rita,Hana Fashion - Maudy Highwaist Pants Long Pants - LP167,bagus tapi agak tipis,5
M***a,Hana Fashion - Jodie Slit Skort Pants Celana Rok Pendek Wanita - SP085,Ukurannya pas,4
theresia,HanaFashion - Felecia Basic Outer Atasan Wanita - SB144,Tidak ada ulasan,3
C***e,HanaFashion - Sohee Mini Skirt / Rok Pendek Zipper Wanita Korea- SK151,"Pengiriman lumayan, tidak terlalu lama. Barang sampai dengan baik. Harga murah, design bagus, bentuknya bagus, jahitan rapih. Kualitas oke, bahan oke, cukup nyaman di pak...",5
leefong,HanaFashion - Roshi Shirt Blouse / Atasan Wanita Casual - SB248,uda pembelian kesekian x kemeja ini bgusss banget 😍😍,5
G***a,Aries Halter Stripe Tank Top Tumblr - TT225,Saya bb45kg pesan ukuran M ternyata kekecilan.,5
r***s,HanaFashion - Pokemon Crop Top Kaos Murah Wanita - CT108,Ukurannya pas Tinggi badan < 150 cm Berat badan > 70 kg,5
F***a,HanaFashion - Dami Casual Short Pants Wanita Celana Pendek - SP067,"Bahan dan size sesuai deskripsi, pengiriman cepat",5
G***g,Hana Fashion - Kenny Blouse O-ring Tied Crop T-shirt - TS377,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,5
F***y,HanaFashion - Dami Casual Short Pants Wanita Celana Pendek - SP067,Ukurannya pas,5
H***k,Hana Fashion - Eliana V-Neck Long Sleeve Korean Style - TS571,"lucu model kaosnya. real pict, model ramping. ngepas di body",5
I***m,Hana Fashion - Maudy Highwaist Pants Long Pants - LP167,Ukurannya terlalu besar,4
Anisa,Hana Fashion - Arisha Casual Long Dress Wanita - CD047-2,"ukuran pas sesuai deskripsi, pas di badan, bahannya lembut, tidak panas saat dipakai",5
K***i,HanaFashion - Virgo Casual Mini Dress Wanita Korean Style - CD084,"bagussssss
lucu jugaaa, gak panas bahannya. Makasih yaaa, next order model lain
😊😊😊😊😊",5
TONI,HanaFashion - Zerra Collared V-neck Rib Knit Tee / Kaos Wanita - TS520,Ukurannya pas,5
Agus,Hana Fashion - Tania Stripe Mini Dress Wanita - CD206,ok bngt,5
C***n,HanaFashion - April Halter Tanktop Rajut Wanita - TT232,bahan bagus halus nyerap keringat,5
Martha,HanaFashion - Patricia Crop Top Stylish Wanita Murah - CT093,tuker size gak bisa payah padahal ud langganan ga bakalan beli disini lagi,1
D***g,Aries Halter Stripe Tank Top Tumblr - TT225,"Ukuran 4XL ternyata ketiak dan kiri kanan dada kelebaran untuk saya. Tapi ga papa biar sedikit gombrang dan spy nggak terlalu ngatung.

Tinggi badan 155 cm Berat badan 61...",5
D***g,Jiso V-neck Chekered Cute Korean Crop Top Wanita - CT286,"Ukuran XL sengaja biar sedikit gombrang dan spy nggak terlalu ngatung. Tinggi badan 150 - 160 cm Berat badan 61 - 70 kg

Bahan enak lembut, model lucu. Harga terjangkau....",5
Mega,Hana Fashion - Jodie Slit Skort Pants Celana Rok Pendek Wanita - SP085,Ukurannya pas,5
F***y,HanaFashion - Yuna Crop Top Wanita Korean Style - TS343,Ukurannya pas,5
F***y,HanaFashion - Biwa Short Pants Wanita - SP145,Ukurannya pas,5
Vera,Hana Fashion - Diane Cargo Pants Celana Panjang Wanita - LP275,"bahannya oke, ngga panas.. Ukurannya pas..Tinggi badan 150 - 160 cm",5
PETRUK,HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007,"Ukurannya pas 
Tinggi badan > 170 cm
Berat badan 50 - 60 kg
kualitas dan rasa produk ok..... 
harganya juga ok..... 
pelayanan cepat tanggap...... 
packing juga aman.....",5
nana,Hana Fashion - Maureen Knit Jacket Wanita - JP024,keren... next beli lg,5
Netty,HanaFashion - Indy Loose Pants Celana Panjang Wanita - LP033,Ga tebal² amat tp semoga cukup,5
Netty,HanaFashion - Kiry V-neck Loose Basic T-shirt Kaos Wanita - TS264,Semoa sukses ya,5
A***a,Hana Fashion - Gie Maxi Skirt Rok Panjang Long Skirt - SK216,"Ukurannya pas utk Tinggi badan 160 cm, bb 72. Ga sangka uk. M bisa muat dan nyaman dipakai.",5
V***a,HanaFashion - ChaYoung Short Pants Celana Pendek Wanita - SP024,🩵🩶,5
V***a,HanaFashion - Josie Short Pants / Celana Pendek Wanita - SP082,Ukurannya pas. warna pink nya lebih soft,4
Verderika,HanaFashion - Biwa Short Pants Wanita - SP145,Ukurannya pas,4
V***a,HanaFashion - Widy Short Pants Highwaist - SP033,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan < 50kg,4
N***A,Hana Fashion - Ilona Jacket Zipper Wanita / Jaket Wanita - JK105,Bagus,5
A***z,Hana Fashion - Nagita Set Strap Midi Dress With Cardigan - ST155,Mantao bagus banget barangnya. Halus lembut dan nyaman dipakai,5
Wina,Aries Halter Stripe Tank Top Tumblr - TT225,Ukurannya pas Tinggi badan 161 - 170 cm Berat badan < 50 kg,5
Rita,HanaFashion - Jennie One Shoulder Crop Top Murah - CT131,Ukurannya pas Tinggi badan 150 - 160 cm,5
Rita,Hana Fashion - Messy Crop Top Atasan Wanita - CT319,bagus  kualitas bahan ok..warna sesuai ekspetasi Ukurannya pas Tinggi badan < 150 cm,5
Meyciana,HanaFashion - Audrey Ribbed Crop Top Wanita - CT192,"model unfinished cutting, rapi jaitannya, bahan kaos rib. cukup strechy. tau gt ambil lilac nya sekalian . wkwkw",5
Meyciana,Tweety Crop Tee / Atasan Wanita - Hana Fashion,"gemesss banget, pas di badan, bahan kaosnya jg oke , harga amat sgt terjangkau",5
Meyciana,HanaFashion - Felecia Basic Outer Atasan Wanita - SB144,"uda dibungkus jd kado, lupa mau foto2 dulu. hehehe",5
Jenny,HanaFashion - Ellie Short Pants / Celana Pendek Wanita - SP130,"ukuran sesuai,  jahitan rapi 
pengiriman tepat waktu",5
Cindy,HanaFashion - Gabriela Top Long Sleeve / Atasan Wanita - TS472,Bagus banget.. Bahannya juga lembut 🥰,5
T***a,HanaFashion - Inggrid Crop Top Kaos Pendek Blouse Wanita - CT120,pas bagus bgt,5
Ernie,HanaFashion - Marion Skort Pants Celana Slit Rok Wanita - SP103,Ukurannya pas Tinggi badan 150 - 160 cm Berat badan 50 - 60 kg,5
Zully,Hana Fashion - Aretha Halter Stripe Tank Top Wanita - TT439,ok,5
c***y,Hana Fashion - Jodie Slit Skort Pants Celana Rok Pendek Wanita - SP085,kain ngecewakan,3
Evy,Hana Fashion - Ikura Rib Tank Top Wanita - TT460,"Mini, crop top, soft pink, tipis, model bagus, dtg tepat waktu",5
A***a,HanaFashion - Sita Crop Tank Top Atasan Wanita - TT007,"ukurannya pas banget di badan jadi bagus dipakainya, bahan adem",5
Rita,HanaFashion - Alika Knit Crop Top Atasan Wanita - CT198,Ukurannya pas Tinggi badan 150 - 160 cm Ukurannya terlalu kecil,5
